=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.17 18:05:46 =~=~=~=~=~=~=~=~=~=~=~=
0,.00
0, 0, 1024.20
0, 0, 1024.00
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.00
0, 0, 1024.20
0, 0, 1024.00
$0, 0, 1024.30
0, 0, 1024.10
0, 0, 1024.00
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.40
0, 0, 1024.30
0, 0, 1024.30
0, 0, 1024.30
0, 0, 1024.20
0, 0, 1024.50
0, 0, 1024.10
0, 0, 1024.30
0, 0, 1024.00
0, 0, 1024.10
0, 0, 1024.30
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.30
0, 0, 1024.20
0, 0, 1024.40
0, 0, 1024.20
0, 0, 1023.90
0, 0, 1024.00
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.30
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.00
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.00
0, 0, 1024.30
0, 0, 1024.30
0, 0, 1024.10
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.00
0, 0, 1024.30
0, 0, 1024.10
0, 0, 1024.30
0, 0, 1024.30
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.50
0, 0, 1024.30
0, 0, 1024.30
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.30
0, 0, 1024.30
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.30
0, 0, 1024.10
0, 0, 1024.00
0, 0, 1024.30
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.30
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.30
0, 0, 1024.10
0, 0, 1024.10
0, 0, 1024.00
0, 0, 1024.20
0, 0, 1024.40
0, 0, 1023.90
0, 0, 1024.20
24, 2476, 1024.20
zQ74, 2426, 1024.00
C129, 2371, 1024.20
183, 2317, 1024.30
238, 2262, 1024.30
-293, 2207, 1024.40
ge349, 2151, 1025.10
0404, 2096, 1026.00
459, 2041, 1027.40
515, 1985, 1028.60
C570, 1930, 1030.20
Sz625, 1875, 1031.80
681, 1819, 1033.30
736, 1764, 1034.30
!791, 1709, 1035.50
vX846, 1654, 1036.50
>902, 1598, 1037.70
957, 1543, 1038.80
1012, 1500, 1039.80
1068, 1500, 1040.80
1124, 1500, 1041.50
1180, 1500, 1041.40
1237, 1500, 1040.60
1294, 1500, 1039.30
1350, 1500, 1038.40
1407, 1500, 1037.20
1463, 1500, 1036.10
1519, 1500, 1035.40
1576, 1500, 1034.50
1632, 1500, 1033.80
1688, 1500, 1032.90
1744, 1500, 1032.60
1801, 1500, 1031.80
1857, 1500, 1031.10
1914, 1500, 1030.70
1971, 1500, 1029.80
2027, 1500, 1029.50
2083, 1500, 1029.10
2140, 1500, 1028.90
2196, 1500, 1028.40
2252, 1500, 1028.40
2309, 1500, 1028.10
2365, 1500, 1027.80
2421, 1500, 1027.70
2478, 1500, 1027.50
2535, 1500, 1027.20
2591, 1500, 1027.20
2648, 1500, 1027.00
2704, 1500, 1027.00
2760, 1500, 1026.70
2817, 1500, 1026.90
2873, 1500, 1026.70
2929, 1500, 1026.90
2986, 1500, 1027.00
3042, 1500, 1027.10
3098, 1500, 1027.00
3156, 1500, 1027.00
3212, 1500, 1027.20
3268, 1500, 1027.20
3325, 1500, 1027.40
3381, 1500, 1027.20
3437, 1500, 1027.50
3493, 1500, 1027.70
3550, 1500, 1027.60
3606, 1500, 1027.90
3662, 1500, 1027.90
3719, 1500, 1027.90
3776, 1500, 1027.90
3832, 1500, 1027.90
3889, 1500, 1028.30
3945, 1500, 1028.10
4001, 1500, 1028.10
4058, 1500, 1028.00
4114, 1500, 1028.30
4170, 1500, 1028.20
4227, 1500, 1028.20
4283, 1500, 1028.10
4339, 1500, 1028.00
4397, 1500, 1028.00
4453, 1500, 1028.10
4509, 1500, 1028.00
4566, 1500, 1027.80
4622, 1500, 1027.80
4678, 1500, 1027.90
4735, 1500, 1027.80
4791, 1500, 1027.60
4847, 1500, 1027.40
4904, 1500, 1027.30
4960, 1500, 1027.60
5016, 1500, 1027.50
5074, 1500, 1027.40
5130, 1500, 1027.30
5186, 1500, 1027.40
5242, 1500, 1027.40
5299, 1500, 1027.10
5355, 1500, 1027.30
5411, 1500, 1027.30
5468, 1500, 1027.50
5524, 1500, 1027.60
5580, 1500, 1027.30
5637, 1500, 1027.30
5694, 1500, 1027.20
5750, 1500, 1027.10
5807, 1500, 1027.40
5863, 1500, 1027.40
5919, 1500, 1027.30
5976, 1500, 1027.30
6032, 1500, 1027.70
6088, 1500, 1027.50
6145, 1500, 1027.30
6201, 1500, 1027.50
6257, 1500, 1027.30
6314, 1500, 1027.20
6371, 1500, 1027.40
6427, 1500, 1027.50
6484, 1500, 1027.40
6540, 1500, 1027.40
6596, 1500, 1027.10
6653, 1500, 1027.20
6709, 1500, 1027.00
6765, 1500, 1027.00
6821, 1500, 1027.20
6878, 1500, 1026.90
6934, 1500, 1027.00
6991, 1500, 1027.30
7048, 1500, 1027.10
7104, 1500, 1026.90
7160, 1500, 1026.90
7217, 1500, 1026.90
7273, 1500, 1026.90
7329, 1500, 1026.90
7386, 1500, 1026.80
7442, 1500, 1026.90
7498, 1500, 1026.70
7555, 1500, 1026.80
7612, 1500, 1026.80
7668, 1500, 1026.90
7725, 1500, 1026.90
7781, 1500, 1026.80
7837, 1500, 1026.80
7894, 1500, 1027.00
7950, 1500, 1026.90
8006, 1500, 1026.70
8063, 1500, 1026.80
8119, 1500, 1026.70
8175, 1500, 1026.70
8233, 1500, 1026.60
8289, 1500, 1026.80
8345, 1500, 1026.70
8402, 1500, 1026.50
8458, 1500, 1026.80
8514, 1500, 1026.60
8570, 1500, 1026.60
8627, 1500, 1026.60
8683, 1500, 1026.50
8739, 1500, 1026.60
8796, 1500, 1026.50
8852, 1500, 1026.50
8909, 1500, 1026.40
8966, 1500, 1026.40
9022, 1500, 1026.30
9078, 1500, 1026.60
9135, 1500, 1026.20
9191, 1500, 1026.10
9247, 1500, 1026.30
9304, 1500, 1026.20
9360, 1500, 1026.40
9416, 1500, 1026.30
